,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Jamestown,US,42.097,-79.2353,46.4,27,1,4.41,clear sky
81,Bandiagara,ML,14.3501,-3.6104,88.99,24,84,6.78,broken clouds
82,Qaanaaq,GL,77.484,-69.3632,-8.48,98,100,2.95,overcast clouds
83,Punta Arenas,CL,-53.15,-70.9167,50.0,62,75,18.41,broken clouds
84,Longyearbyen,SJ,78.2186,15.6401,14.0,73,40,9.22,scattered clouds
85,Rawson,AR,-43.3002,-65.1023,59.67,66,0,13.73,clear sky
86,Bathsheba,BB,13.2167,-59.5167,77.0,57,20,13.8,few clouds
87,Trincomalee,LK,8.5711,81.2335,80.78,78,96,4.81,overcast clouds
88,Sulangan,PH,11.1373,123.7228,82.69,77,88,14.09,overcast clouds
89,Cape Town,ZA,-33.9258,18.4232,64.99,72,20,12.66,few clouds
90,Saldanha,ZA,-33.0117,17.9442,62.6,72,0,12.66,clear sky
91,Port Alfred,ZA,-33.5906,26.891,67.15,88,50,15.61,light rain
92,Makushino,RU,55.2103,67.2442,28.45,91,91,14.41,overcast clouds
93,Kapaa,US,22.0752,-159.319,75.2,69,20,19.57,light rain
94,Gawler,AU,-34.6,138.7333,77.0,46,0,8.01,clear sky
95,Fairbanks,US,64.8378,-147.7164,19.4,35,1,8.05,clear sky
96,Mar Del Plata,AR,-38.0023,-57.5575,68.0,77,0,2.3,light rain
97,Jimo,CN,36.3897,120.4622,42.01,42,0,11.18,clear sky
98,Mnogovershinnyy,RU,53.9353,139.9242,20.55,79,62,2.55,broken clouds
99,Cotonou,BJ,6.3654,2.4183,82.4,78,20,6.91,few clouds
100,Maromitsa,RU,59.8683,48.0123,10.94,96,100,4.99,overcast clouds
101,Alofi,NU,-19.0595,-169.9187,84.2,74,91,8.05,light rain
102,Palmerston,AU,-12.486,130.9833,84.0,78,20,5.75,few clouds
103,Ust-Kuyga,RU,70.0167,135.6,-6.41,93,100,2.62,overcast clouds
104,Mecca,SA,21.4267,39.8261,77.52,29,0,2.59,clear sky
105,Denpasar,ID,-8.65,115.2167,82.4,78,75,12.66,broken clouds
106,Karla,EE,59.3723,24.9275,35.01,93,75,13.8,light rain
107,Praia Da Vitoria,PT,38.7333,-27.0667,59.0,72,40,9.4,scattered clouds
108,Vieux-Habitants,GP,16.0589,-61.7659,75.2,83,75,5.75,broken clouds
109,Nioro,GM,13.35,-15.75,74.71,32,57,9.08,broken clouds
110,Kasongo-Lunda,CD,-6.4667,16.8167,71.06,98,100,1.61,overcast clouds
111,Norman Wells,CA,65.282,-126.8329,1.4,60,20,9.22,few clouds
112,Lodja,CD,-3.4833,23.4333,69.24,96,76,1.19,broken clouds
113,Katsuura,JP,35.1333,140.3,64.4,94,75,11.5,broken clouds
114,Guamuchil,MX,25.4667,-108.1,89.01,34,0,7.0,clear sky
115,Aklavik,CA,68.2191,-135.0107,-2.2,60,20,3.44,few clouds
116,Half Moon Bay,US,37.4636,-122.4286,59.0,66,1,14.97,haze
117,Vangaindrano,MG,-23.35,47.6,74.03,91,97,3.56,light rain
118,Beloha,MG,-25.1667,45.05,73.89,78,2,5.5,clear sky
119,Monze,ZM,-16.2833,27.4833,63.39,92,0,2.71,clear sky
120,Sarahan,IN,31.5167,77.8,45.3,35,0,7.45,clear sky
121,Bambous Virieux,MU,-20.3428,57.7575,79.0,89,40,11.5,moderate rain
122,Pozo Colorado,PY,-23.4923,-58.7972,79.79,76,100,3.11,overcast clouds
123,Faanui,PF,-16.4833,-151.75,83.21,67,1,7.7,clear sky
124,Lasa,IT,46.6166,10.7002,39.2,68,0,11.5,clear sky
125,Havre-Saint-Pierre,CA,50.2334,-63.5986,21.2,79,1,9.22,clear sky
126,Pisco,PE,-13.7,-76.2167,72.0,68,0,21.85,clear sky
127,Port Victoria,KE,0.0939,33.9756,72.39,71,85,5.95,light rain
128,Hermanus,ZA,-34.4187,19.2345,55.99,92,32,7.61,scattered clouds
129,Rudbar,AF,30.15,62.6,67.28,25,18,13.73,few clouds
130,Westport,US,41.1415,-73.3579,53.01,43,1,5.75,clear sky
131,Bac Lieu,VN,9.285,105.7244,77.18,82,33,4.65,scattered clouds
132,Alipur,PK,29.3846,70.9116,72.21,35,99,8.9,overcast clouds
133,Chernyshevskiy,RU,63.0128,112.4714,-27.44,88,100,12.55,overcast clouds
134,Mana,GF,5.6592,-53.7767,76.55,86,24,8.59,few clouds
135,Hithadhoo,MV,-0.6,73.0833,83.17,70,100,9.91,overcast clouds
136,Klaksvik,FO,62.2266,-6.589,42.8,81,75,8.05,broken clouds
137,Ayagoz,KZ,47.9714,80.4392,23.95,72,100,3.31,overcast clouds
138,Caravelas,BR,-17.7125,-39.2481,75.54,90,1,6.73,clear sky
139,Itaituba,BR,-4.2761,-55.9836,74.86,96,94,1.25,moderate rain
140,Saint-Philippe,RE,-21.3585,55.7679,78.8,78,0,19.57,light rain
141,Bengkulu,ID,-3.8004,102.2655,76.06,83,86,4.27,overcast clouds
142,Kununurra,AU,-15.7667,128.7333,75.2,100,90,3.44,overcast clouds
143,Abu Kamal,SY,34.4506,40.9171,61.07,36,48,11.07,scattered clouds
144,Herat,AF,34.5,62.0,48.63,81,0,7.67,clear sky
145,Zinder,NE,13.8072,8.9881,88.99,13,97,13.73,overcast clouds
146,Saint-Georges,GD,12.0564,-61.7485,78.8,73,20,10.36,few clouds
147,Lexington,US,37.9887,-84.4777,55.4,26,1,8.05,clear sky
148,Bambanglipuro,ID,-7.95,110.2833,76.19,88,100,4.32,overcast clouds
149,Roma,US,43.2128,-75.4557,46.4,36,1,6.91,clear sky
150,Salekhard,RU,66.53,66.6019,-14.51,88,100,11.65,overcast clouds
151,Manono,CD,-7.3,27.4167,70.02,89,92,2.75,overcast clouds
152,Provideniya,RU,64.3833,-173.3,5.92,75,100,13.69,overcast clouds
153,Georgetown,MY,5.4112,100.3354,78.8,88,20,3.44,few clouds
154,Beringovskiy,RU,63.05,179.3167,-1.05,92,100,13.58,overcast clouds
155,Ahipara,NZ,-35.1667,173.1667,67.68,50,1,7.23,clear sky
156,Port Elizabeth,ZA,-33.918,25.5701,64.4,88,20,12.66,light rain
